time,source,destination,cwnd,mss
2024-11-11T13:48:57.689, 10.0.3.101:41098, 10.0.1.101:5210, 179, 1448, 1063552
2024-11-11T13:48:57.823, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.823, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.823, 10.0.3.101:41098, 10.0.1.101:5210, 187, 1448, 1063552
2024-11-11T13:48:57.953, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:57.953, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:57.953, 10.0.3.101:41098, 10.0.1.101:5210, 195, 1448, 1063552
2024-11-11T13:48:58.085, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.085, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.085, 10.0.3.101:41098, 10.0.1.101:5210, 202, 1448, 1063552
2024-11-11T13:48:58.225, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.225, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.225, 10.0.3.101:41098, 10.0.1.101:5210, 145, 1448, 1063552
2024-11-11T13:48:58.366, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.366, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.366, 10.0.3.101:41098, 10.0.1.101:5210, 157, 1448, 1063552
2024-11-11T13:48:58.500, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.500, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.500, 10.0.3.101:41098, 10.0.1.101:5210, 166, 1448, 1063552
2024-11-11T13:48:58.638, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.638, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.638, 10.0.3.101:41098, 10.0.1.101:5210, 175, 1448, 1063552
2024-11-11T13:48:58.767, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.767, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.767, 10.0.3.101:41098, 10.0.1.101:5210, 183, 1448, 1063552
2024-11-11T13:48:58.897, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:58.897, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:58.897, 10.0.3.101:41098, 10.0.1.101:5210, 192, 1448, 1063552
2024-11-11T13:48:59.026, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.026, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.026, 10.0.3.101:41098, 10.0.1.101:5210, 199, 1448, 1063552
2024-11-11T13:48:59.156, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.156, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.156, 10.0.3.101:41098, 10.0.1.101:5210, 205, 1448, 1063552
2024-11-11T13:48:59.284, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.284, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.284, 10.0.3.101:41098, 10.0.1.101:5210, 209, 1448, 1063552
2024-11-11T13:48:59.413, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.413, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.413, 10.0.3.101:41098, 10.0.1.101:5210, 213, 1448, 1063552
2024-11-11T13:48:59.545, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.545, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.545, 10.0.3.101:41098, 10.0.1.101:5210, 219, 1448, 1063552
2024-11-11T13:48:59.679, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.679, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.679, 10.0.3.101:41098, 10.0.1.101:5210, 227, 1448, 1063552
2024-11-11T13:48:59.811, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.811, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.811, 10.0.3.101:41098, 10.0.1.101:5210, 233, 1448, 1063552
2024-11-11T13:48:59.956, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:48:59.956, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:48:59.956, 10.0.3.101:41098, 10.0.1.101:5210, 169, 1448, 1063552
2024-11-11T13:49:00.091, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.091, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.091, 10.0.3.101:41098, 10.0.1.101:5210, 178, 1448, 1063552
2024-11-11T13:49:00.230, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.230, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.230, 10.0.3.101:41098, 10.0.1.101:5210, 187, 1448, 1063552
2024-11-11T13:49:00.368, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.368, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.368, 10.0.3.101:41098, 10.0.1.101:5210, 196, 1448, 1063552
2024-11-11T13:49:00.515, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.515, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.515, 10.0.3.101:41098, 10.0.1.101:5210, 204, 1448, 1063552
2024-11-11T13:49:00.651, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.651, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.651, 10.0.3.101:41098, 10.0.1.101:5210, 211, 1448, 1063552
2024-11-11T13:49:00.793, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.793, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.793, 10.0.3.101:41098, 10.0.1.101:5210, 219, 1448, 1063552
2024-11-11T13:49:00.931, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:00.931, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:00.931, 10.0.3.101:41098, 10.0.1.101:5210, 161, 1448, 1063552
2024-11-11T13:49:01.081, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.081, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.081, 10.0.3.101:41098, 10.0.1.101:5210, 171, 1448, 1063552
2024-11-11T13:49:01.223, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.223, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.223, 10.0.3.101:41098, 10.0.1.101:5210, 180, 1448, 1063552
2024-11-11T13:49:01.368, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.368, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.368, 10.0.3.101:41098, 10.0.1.101:5210, 133, 1448, 1063552
2024-11-11T13:49:01.501, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.501, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.501, 10.0.3.101:41098, 10.0.1.101:5210, 144, 1448, 1063552
2024-11-11T13:49:01.641, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.641, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.641, 10.0.3.101:41098, 10.0.1.101:5210, 155, 1448, 1063552
2024-11-11T13:49:01.783, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.783, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.783, 10.0.3.101:41098, 10.0.1.101:5210, 166, 1448, 1063552
2024-11-11T13:49:01.914, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:01.914, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:01.914, 10.0.3.101:41098, 10.0.1.101:5210, 174, 1448, 1063552
2024-11-11T13:49:02.044, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.044, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.044, 10.0.3.101:41098, 10.0.1.101:5210, 183, 1448, 1063552
2024-11-11T13:49:02.182, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.182, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.182, 10.0.3.101:41098, 10.0.1.101:5210, 191, 1448, 1063552
2024-11-11T13:49:02.318, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.318, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.318, 10.0.3.101:41098, 10.0.1.101:5210, 200, 1448, 1063552
2024-11-11T13:49:02.445, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.445, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.445, 10.0.3.101:41098, 10.0.1.101:5210, 207, 1448, 1063552
2024-11-11T13:49:02.571, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.571, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.571, 10.0.3.101:41098, 10.0.1.101:5210, 215, 1448, 1063552
2024-11-11T13:49:02.703, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.703, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.703, 10.0.3.101:41098, 10.0.1.101:5210, 222, 1448, 1063552
2024-11-11T13:49:02.834, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.834, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.834, 10.0.3.101:41098, 10.0.1.101:5210, 229, 1448, 1063552
2024-11-11T13:49:02.972, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:02.972, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:02.972, 10.0.3.101:41098, 10.0.1.101:5210, 166, 1448, 1063552
2024-11-11T13:49:03.111, 10.0.3.101:41094, 10.0.1.101:5210, 10, 1448, 65536
2024-11-11T13:49:03.111, 10.0.3.101:22, 10.0.3.1:35070, 10, 1448, 64128
2024-11-11T13:49:03.111, 10.0.3.101:41098, 10.0.1.101:5210, 175, 1448, 1063552
