time,source,destination,cwnd,mss
2024-11-11T17:24:04.986, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:04.986, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:04.986, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:04.986, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:05.508, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:05.508, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:24:05.508, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:05.508, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:06.032, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:06.032, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:06.032, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:06.032, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:06.577, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:06.577, 10.0.3.101:51608, 10.0.1.101:5210, 16, 1448, 1063552
2024-11-11T17:24:06.577, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:06.577, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:07.163, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:07.163, 10.0.3.101:51608, 10.0.1.101:5210, 18, 1448, 1063552
2024-11-11T17:24:07.163, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:07.163, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:07.734, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:07.734, 10.0.3.101:51608, 10.0.1.101:5210, 17, 1448, 1063552
2024-11-11T17:24:07.734, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:07.734, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:09.329, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:09.329, 10.0.2.101:35730, 10.0.1.101:5211, 13, 1448, 1063552
2024-11-11T17:24:09.329, 10.0.3.101:51608, 10.0.1.101:5210, 10, 1448, 1063552
2024-11-11T17:24:09.329, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:09.329, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:09.329, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:09.329, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:09.329, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:10.087, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:10.087, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:10.087, 10.0.3.101:51608, 10.0.1.101:5210, 13, 1448, 1063552
2024-11-11T17:24:10.087, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:10.087, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:10.087, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:10.087, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:10.087, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:10.966, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:10.966, 10.0.2.101:35730, 10.0.1.101:5211, 13, 1448, 1063552
2024-11-11T17:24:10.966, 10.0.3.101:51608, 10.0.1.101:5210, 11, 1448, 1063552
2024-11-11T17:24:10.966, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:10.966, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:10.966, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:10.966, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:10.966, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:11.802, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:11.802, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:11.802, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:11.802, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:11.802, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:11.802, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:11.802, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:11.802, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:12.679, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:12.679, 10.0.2.101:35730, 10.0.1.101:5211, 13, 1448, 1063552
2024-11-11T17:24:12.679, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:12.679, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:12.679, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:12.679, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:12.679, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:12.679, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:13.559, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:13.559, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:13.559, 10.0.3.101:51608, 10.0.1.101:5210, 13, 1448, 1063552
2024-11-11T17:24:13.559, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:13.559, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:13.559, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:13.559, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:13.559, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:14.379, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:14.379, 10.0.2.101:35730, 10.0.1.101:5211, 13, 1448, 1063552
2024-11-11T17:24:14.379, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:14.379, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:14.379, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:14.379, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:14.379, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:14.379, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:15.292, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:15.292, 10.0.2.101:35730, 10.0.1.101:5211, 12, 1448, 1063552
2024-11-11T17:24:15.292, 10.0.3.101:51608, 10.0.1.101:5210, 13, 1448, 1063552
2024-11-11T17:24:15.292, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:15.292, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:15.292, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:15.292, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
2024-11-11T17:24:15.292, 10.0.1.101:5210, 10.0.3.101:51600, 13, 1448, 65536
2024-11-11T17:24:16.137, 10.0.3.101:51600, 10.0.1.101:5210, 13, 1448, 65536
2024-11-11T17:24:16.137, 10.0.2.101:35730, 10.0.1.101:5211, 11, 1448, 1063552
2024-11-11T17:24:16.137, 10.0.3.101:51608, 10.0.1.101:5210, 12, 1448, 1063552
2024-11-11T17:24:16.137, 10.0.1.101:5211, 10.0.2.101:35730, 10, 1448, 65536
2024-11-11T17:24:16.137, 10.0.1.101:5210, 10.0.3.101:51608, 10, 1448, 65536
2024-11-11T17:24:16.137, 10.0.1.101:5211, 10.0.2.101:35726, 13, 1448, 65536
2024-11-11T17:24:16.137, 10.0.2.101:35726, 10.0.1.101:5211, 11, 1448, 66688
